08:42:21.652 | 192.168.15.11        | OP(Prst) : 192.168.15.11        | (P1-dtcjtapi) ProvInServiceEv [#0] Cause:100 CallCtlCause:0 FeatReason:12
08:42:27.901 | 1001                 | OA(Addr) : 1001                 | (P1-dtcjtapi) [1001:] CiscoAddrOutOfServiceEv [#2] Cause:100 CallCtlCause:0 FeatReason:12
08:42:27.908 | 1002                 | OA(Addr) : 1002                 | (P1-dtcjtapi) [1002:] CiscoAddrOutOfServiceEv [#4] Cause:100 CallCtlCause:0 FeatReason:12
08:42:27.927 | 1003                 | OA(Addr) : 1003                 | (P1-dtcjtapi) [1003:] CiscoAddrInServiceEv [#7] Cause:100 CallCtlCause:0 FeatReason:12
08:42:27.931 | 1003                 | OA(Addr) : 1003                 | (P1-dtcjtapi) [1003:] CiscoAddrInServiceEv [#8] Cause:100 CallCtlCause:0 FeatReason:12
08:42:27.940 | 1004                 | OA(Addr) : 1004                 | (P1-dtcjtapi) [1004:] CiscoAddrInServiceEv [#12] Cause:100 CallCtlCause:0 FeatReason:12
08:42:27.945 | SEP001B2431F2F6      | OT(Term) : SEP001B2431F2F6      | (P1-dtcjtapi) [SEP001B2431F2F6] CiscoTermInServiceEv [#13] Cause:100 CallCtlCause:0 FeatReason:12
08:42:27.978 | SEP00E04C55F91C      | OT(Term) : SEP00E04C55F91C | 0
08:42:27.986 | SEP08002701469E      | OT(Term) : SEP08002701469E      | (P1-dtcjtapi) [SEP08002701469E] CiscoTermOutOfServiceEv [#15] Cause:100 CallCtlCause:0 FeatReason:12
client 0 : 13|Bka|1003|1004
08:43:09.454 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5009/1 CallActiveEv [#21] Cause:106 CallCtlCause:0 CiscoCause:0 FeatReason:12
08:43:09.465 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5009/1 ConnCreatedEv 1003::1 [#24] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
08:43:09.465 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5009/1 ConnConnectedEv 1003::1 [#26] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
08:43:09.465 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5009/1 TermConnCreatedEv SEP001B2431F2F6 [#30] Cause:0 CallCtlCause:0 CiscoCause:100 FeatReason:12
08:43:09.465 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5009/1 TermConnActiveEv SEP001B2431F2F6 [#32] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
08:43:09.466 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5009/1 CiscoConnectionUniqueIDChangedEv 1003::1 [#37] Cause:100 CallCtlCause:0 CiscoCause:100 FeatReason:1
08:43:09.481 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5009/1 ConnCreatedEv 1004::1 [#39] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
08:43:09.482 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5009/1 ConnInProgressEv 1004::1 [#40] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
08:43:09.482 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5009/1 ConnAlertingEv 1004::1 [#52] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
08:43:09.482 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5009/1 TermConnCreatedEv SEP00E04C55F91C [#54] Cause:0 CallCtlCause:0 CiscoCause:100 FeatReason:12
08:43:09.482 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5009/1 TermConnRingingEv SEP00E04C55F91C [#55] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
08:43:09.483 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5009/1 CallActiveEv [#42] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
08:43:09.483 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5009/1 ConnCreatedEv 1003::1 [#43] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
08:43:09.483 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5009/1 ConnConnectedEv 1003::1 [#44] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
08:43:09.484 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5009/1 TermConnCreatedEv SEP001B2431F2F6 [#46] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
08:43:09.484 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5009/1 TermConnActiveEv SEP001B2431F2F6 [#47] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
08:43:09.484 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5009/1 ConnCreatedEv 1004::1 [#49] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
08:43:09.484 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5009/1 ConnInProgressEv 1004::1 [#50] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
08:43:09.484 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5009/1 ConnAlertingEv 1004::1 [#52] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
08:43:09.485 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5009/1 TermConnCreatedEv SEP00E04C55F91C [#54] Cause:0 CallCtlCause:0 CiscoCause:100 FeatReason:12
08:43:09.485 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5009/1 TermConnRingingEv SEP00E04C55F91C [#55] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
08:43:09.486 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5009/1 CallActiveEv [#57] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
08:43:09.486 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5009/1 ConnCreatedEv 1003::1 [#58] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
08:43:09.486 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5009/1 ConnConnectedEv 1003::1 [#59] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
08:43:09.486 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5009/1 TermConnCreatedEv SEP001B2431F2F6 [#61] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
08:43:09.486 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5009/1 TermConnActiveEv SEP001B2431F2F6 [#62] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
08:43:09.487 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5009/1 ConnCreatedEv 1004::1 [#64] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
08:43:09.487 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5009/1 ConnAlertingEv 1004::1 [#65] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
08:43:09.487 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5009/1 TermConnCreatedEv SEP00E04C55F91C [#67] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
08:43:09.487 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5009/1 TermConnRingingEv SEP00E04C55F91C [#68] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
08:43:09.488 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5009/1 CallActiveEv [#21] Cause:106 CallCtlCause:0 CiscoCause:0 FeatReason:12
08:43:09.488 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5009/1 ConnCreatedEv 1003::1 [#24] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
08:43:09.488 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5009/1 ConnConnectedEv 1003::1 [#26] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
08:43:09.488 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5009/1 TermConnCreatedEv SEP001B2431F2F6 [#30] Cause:0 CallCtlCause:0 CiscoCause:100 FeatReason:12
08:43:09.488 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5009/1 TermConnActiveEv SEP001B2431F2F6 [#32] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
